DDCTransactionId876AFF63424889BEF63D60818DDDBF35_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F77202_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-16.27.06, Duration=3.959514, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2016.04.01-16.27.06, HierarchicalDDC=, DataSize=65797, Duration=0.096802, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2016.04.01-16.27.06, HierarchicalDDC=, DataSize=22665, Duration=0.031780, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId876AFF63424889BEF63D60818DDDBF35_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F74_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-16.27.06, Duration=8.968178, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__67B45977DAEC48FA9C18EFBA3BE582AF431E813E, StartTime=2016.04.01-16.27.06, HierarchicalDDC=, DataSize=262405, Duration=0.159379, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__1380E9E5B67F360AFCB4C5A6C93158D79092F47B, StartTime=2016.04.01-16.27.06, HierarchicalDDC=, DataSize=65797, Duration=0.066977, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B, StartTime=2016.04.01-16.27.06, HierarchicalDDC=, DataSize=22958, Duration=0.029333, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId876AFF63424889BEF63D60818DDDBF35_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090AF89_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-16.27.06, Duration=1403.786011, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__F781C0B0C2693BF17FB27AC24C523D4AD3350E86, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=524553, Duration=0.674181, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__EC69846C8DD084F28BBD11A348C2B577D88F8262, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=131335, Duration=0.108533, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1423AB5FD021F7D2A063652CBFD2D5D24334CF57, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=33031, Duration=0.040092, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1AC1C47CE01BB3791E07B3F37B4DEBBD29C103E3, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=8455, Duration=0.029821, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__DD3D508F2B287118D83B2811676DC879755E7F88, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=4452, Duration=0.033733, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId876AFF63424889BEF63D60818DDDBF35_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E98A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-16.27.08, Duration=343.961731, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__A862D430A5BD3851806098886F46A0DB4C02712D, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=262407, Duration=0.188708, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__5D8E67CBA0F04E790BD64833DFE9997DDB1D33F0, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=65799, Duration=0.067469, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__D3B9066E064FF8485C582FA787D958A7AE111964, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=16647, Duration=0.041068, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
